"","Name","City","State","Locale","Control","Cost_att","Federal_loan","Pell_Grant","Women","Dependent","Married","pct_white","pct_black","pct_hispanic","pct_asian","Low_income","Mid1_income","Mid2_income","High1_income","High2_income","Completion_rate","Monthly_debt","Mean_earning_6","Mean_earning_7","Mean_earning_8","Mean_earning_9","Mean_earning_10","Mean_earning_male_6","Mean_earning_female_6","Mean_earning_male_10","Mean_earning_female_10"
"295","Cuesta College","San Luis Obispo","CA","Suburb","Public",14774,0.3600000143,0.8600000143,0.5600000024,0.5,0.1299999952,81.2300033569,2.4800000191,17.9300003052,3.6099998951,0.6733167082,0.1579384871,0.104322527,0.0311720698,0.0332502078,NA,116.322250784712,30500,34300,35600,37300,38900,28900,32400,33200,46600
"296","Cuyamaca College","El Cajon","CA","Suburb","Public",8774,0.1199999973,0.9800000191,0.6399999857,0.4499999881,0.2199999988,71.2200012207,6.9699997902,21.6599998474,5.1799998283,0.8408094435,0.1038785835,0.0455311973,NA,NA,NA,46.5289003138851,25600,26800,28100,30900,32200,23400,29200,28000,38700
"297","Cypress College","Cypress","CA","Suburb","Public",11187,0.2300000042,0.9399999976,0.6100000143,0.4699999988,0.150000006,52.4599990845,5.3800001144,37.8699989319,16.7999992371,0.686731666,0.1814328105,0.1104281475,0.0180161085,0.0033912675,NA,98.2276784404242,30200,34700,35700,36500,37500,29200,31600,34900,41400
"298","De Anza College","Cupertino","CA","City","Public",11120,0.2899999917,0.9300000072,0.5400000215,0.6299999952,0.0900000036,49.9799995422,3.5099999905,23.3500003815,28.8799991608,0.690668771,0.1676859341,0.1088972184,0.0220950878,0.0106529888,NA,NA,32400,37100,40700,46700,50000,32400,32500,49900,50100
"299","International School of Beauty Inc","Palm Desert","CA","Suburb","Private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7581227437,0.1444043321,NA,NA,NA,NA,72.4816869334078,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","Dell'Arte International School of Physical Theatre","Blue Lake","CA","Rural","Private",NA,1,0.3300000131,0.3799999952,0.3300000131,0.0500000007,72.2099990845,12.0500001907,15.1999998093,3.7000000477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","College of the Desert","Palm Desert","CA","Suburb","Public",14719,0.0900000036,0.9800000191,0.6299999952,0.5600000024,0.1400000006,62.7099990845,3.0899999142,51.3600006104,2.1700000763,0.7156692327,0.1914576608,0.0846784207,NA,NA,NA,55.1936155278931,28600,30800,32000,32300,33900,29100,27900,31900,37400
"302","Design Institute of San Diego","San Diego","CA","City","Private",30794,0.9599999785,0.5199999809,0.9100000262,0.400000006,0.150000006,73.0800018311,4.6100001335,20.7600002289,7.5700001717,0.5084745763,NA,NA,NA,NA,NA,419.64415193093,32300,32800,33400,30300,34700,NA,NA,NA,NA
"303","Diablo Valley College","Pleasant Hill","CA","Suburb","Public",11727,0.1299999952,0.9599999785,0.5500000119,0.5299999714,0.1099999994,66,8.3000001907,17.2999992371,11.5100002289,0.7204330176,0.1599458728,0.0952638701,0.0143437077,0.0100135318,NA,NA,33100,34800,36400,42100,45600,32300,34100,40400,52400
"304","Dominican University of California","San Rafael","CA","City","Private",58609,0.9599999785,0.4399999976,0.7799999714,0.6000000238,0.1199999973,65.7300033569,6.1999998093,18.9200000763,12.8900003433,0.2727272727,0.1136363636,0.1685606061,0.1458333333,0.2992424242,NA,279.173401883311,52600,53700,54600,59800,59100,54000,47100,58600,60700
"305","Dominican School of Philosophy & Theology","Berkeley","CA","City","Private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","East Los Angeles College","Monterey Park","CA","City","Public",14499,0.0700000003,1,0.6399999857,0.6000000238,0.1299999952,36.25,4.8299999237,72.4199981689,14.2100000381,0.7522112034,0.1726078799,0.0675422139,NA,NA,NA,60.1360187167902,26700,29700,31100,34900,36000,25800,28400,34300,38900
"307","El Camino Community College District","Torrance","CA","Suburb","Public",14931,0.0900000036,0.9900000095,0.6700000167,0.5500000119,0.0900000036,32.3800010681,26.6599998474,44.6399993896,9.0699996948,0.7658267859,0.1533459767,0.0736927662,NA,NA,NA,NA,25800,29800,31700,33200,34800,24000,29200,31700,40000
"308","Elegance International","Hollywood","CA","City","Private",NA,0.9499999881,0.8000000119,0.8999999762,0.5099999905,0.1400000006,49.8300018311,11.1400003433,41.7799987793,10.6400003433,0.7084548105,0.1370262391,0.0612244898,0.0495626822,0.0437317784,NA,65.4816723750744,20500,23500,20900,NA,NA,NA,NA,NA,NA
"309","Emperor's College of Traditional Oriental Medicine","Santa Monica","CA","City","Private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","Empire College School of Business","Santa Rosa","CA","City","Private",NA,0.9399999976,0.6899999976,0.7799999714,0.3100000024,0.2599999905,79.2600021362,1.7100000381,18.8600006104,3.4200000763,0.653968254,0.1777777778,0.0825396825,0.0476190476,0.0380952381,NA,170.605967817578,26700,28900,29500,35200,35700,25800,30000,30500,43600
"311","Evergreen Valley College","San Jose","CA","City","Public",16760,0.0799999982,0.9900000095,0.6100000143,0.5699999928,0.1299999952,37.2900009155,4.0399999619,36.5200004578,32.1300010681,0.7564102564,0.1368778281,0.0938914027,NA,NA,NA,107.016470721935,29700,32700,34800,36300,38800,28600,31500,36900,41500
"312","Fashion Institute of Design & Merchandising-Los Angeles","Los Angeles","CA","City","Private",47380,0.9900000095,0.4399999976,0.8899999857,0.8100000024,0.0299999993,65.4599990845,6.4400000572,24.6800003052,10.5900001526,0.364921466,0.1701570681,0.1298429319,0.1277486911,0.2073298429,NA,134.416823129001,32700,35600,36800,38200,39900,32600,33700,39300,44300
"313","Fashion Institute of Design & Merchandising-San Francisco","San Francisco","CA","City","Private",43752,0.9900000095,0.4399999976,0.8899999857,0.8100000024,0.0299999993,65.4599990845,6.4400000572,24.6800003052,10.5900001526,0.364921466,0.1701570681,0.1298429319,0.1277486911,0.2073298429,NA,134.416823129001,32700,35600,36800,38200,39900,32600,33700,39300,44300
"314","Fashion Institute of Design & Merchandising-Orange County","Irvine","CA","City","Private",41908,0.9900000095,0.4399999976,0.8899999857,0.8100000024,0.0299999993,65.4599990845,6.4400000572,24.6800003052,10.5900001526,0.364921466,0.1701570681,0.1298429319,0.1277486911,0.2073298429,NA,134.416823129001,32700,35600,36800,38200,39900,32600,33700,39300,44300
"315","Feather River Community College District","Quincy","CA","Rural","Public",14461,0.6200000048,0.8100000024,0.5,0.6200000048,0.1199999973,82.7200012207,2.6400001049,10,4.0399999619,0.6240310078,0.1395348837,0.1046511628,0.0620155039,0.0697674419,NA,104.06447049091,24800,24900,27500,29800,30800,21300,27300,25100,38300
